Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Roobaroo,"A.R. Rahman, Naresh Iyer",Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ,3vqJY3pVELLIxqXXyI08yr,54,2005-12-04,282973,False,https://open.spotify.com/track/3vqJY3pVELLIxqXXyI08yr,0.675,0.582,9,-8.891,1,0.0277,0.661,5.56e-06,0.0854,0.538,120.991
Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack),3EXIPmWRsSM1sXol5g4t7j,73y649QhnXdcm6fRdvfraO,61,2011-12-16,364787,False,https://open.spotify.com/track/73y649QhnXdcm6fRdvfraO,0.334,0.387,2,-9.483,1,0.0332,0.755,3.94e-05,0.113,0.42,129.959
Kabira,"Pritam, Tochi Raina, Rekha Bhardwaj",Yeh Jawaani Hai Deewani,2Lxoc72vRTGdQfMvj7Ovi1,4bD9z9qa4qg9BhryvYWB7c,70,2013-03-30,223460,False,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c,0.59,0.555,2,-6.861,1,0.0271,0.481,0.0,0.192,0.191,84.027
Kal Ho Naa Ho,"Shankar-Ehsaan-Loy, Sonu Nigam",Kal Ho Naa Ho (Original Motion Picture Soundtrack),6H71erprmvRxnWs3XqC8uE,251PNRmJU9KcUnFQAB5t6I,62,2003-09-20,321240,False,https://open.spotify.com/track/251PNRmJU9KcUnFQAB5t6I,0.532,0.529,0,-8.402,1,0.0352,0.334,0.000144,0.078,0.295,81.989
"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")","Tanishk Bagchi, Kausar Munir, Jubin Nautiyal","Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",08PRzEfce7mwprUTvMmfh2,0a17mIL7XTvYqe9mxuPd3y,68,2024-05-20,253224,False,https://open.spotify.com/track/0a17mIL7XTvYqe9mxuPd3y,0.696,0.499,2,-10.061,1,0.0415,0.582,0.0,0.101,0.591,151.848
Phir Se Ud Chala,Mohit Chauhan,Rockstar,3RZxrS2dDZlbsYtMRM89v8,1kcV2LJxt5v0s2cEGtEJ5i,64,2011-10-01,268833,False,https://open.spotify.com/track/1kcV2LJxt5v0s2cEGtEJ5i,0.647,0.656,11,-8.632,1,0.0354,0.657,0.000163,0.343,0.453,119.965
"Soni Soni (From ""Ishq Vishk Rebound"")","Darshan Raval, Jonita Gandhi, Rochak Kohli, Gurpreet Saini","Soni Soni (From ""Ishq Vishk Rebound"")",3vBso6gFPmEwstdMXn3Ahi,36N5awamOX6XX5pQn3aFXZ,73,2024-05-24,176875,False,https://open.spotify.com/track/36N5awamOX6XX5pQn3aFXZ,0.803,0.694,8,-7.83,0,0.0527,0.551,0.000626,0.128,0.484,108.035
Bin Tere,"Vishal-Shekhar, Shafqat Amanat Ali, Sunidhi Chauhan",I Hate Luv Storys (Original Motion Picture Soundtrack),4SPHfSWibeoFCSdR4vd5QL,3bZPdEskcnMdepwCaDSJRl,60,2010-05-25,330360,False,https://open.spotify.com/track/3bZPdEskcnMdepwCaDSJRl,0.585,0.698,9,-6.261,1,0.0392,0.42,3.59e-06,0.363,0.621,139.831
Kyu The,Ayush Kaushik,Perfect Home,0rKXcPMBE99jA9AT96lHKh,1ynsHzAvuMa1gY5eBgjGZf,23,2023-10-13,193435,False,https://open.spotify.com/track/1ynsHzAvuMa1gY5eBgjGZf,0.531,0.797,6,-5.149,0,0.0408,0.436,0.0,0.58,0.367,134.042
Bhool Bhulaiyaa,"Pritam, Neeraj Shridhar",Bhool Bhulaiyaa,4BKbiFqwZBaBG6MeDdkwID,6CCV7FeYgEQ7Ekbes6B36Q,55,2007-09-05,325034,False,https://open.spotify.com/track/6CCV7FeYgEQ7Ekbes6B36Q,0.843,0.9,5,-4.602,0,0.0375,0.31,3.09e-05,0.0576,0.89,108.015
"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)","Mithoon, Arijit Singh, Sunidhi Chauhan",Shivaay,0gCcyIYaX8OK2BcKs8behf,1awtp7rf6ajhGY9BgzCHeZ,60,2016-10-07,374205,False,https://open.spotify.com/track/1awtp7rf6ajhGY9BgzCHeZ,0.523,0.557,7,-7.799,1,0.0293,0.813,0.000581,0.0958,0.196,111.766
Bulleya,"Pritam, Amit Mishra, Shilpa Rao",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],5xjaz957o6YGSXmlfd2tex,0Bz7dfqPY4JOGZO3O1j8Wh,63,2016-10-26,348966,False,https://open.spotify.com/track/0Bz7dfqPY4JOGZO3O1j8Wh,0.552,0.769,2,-4.504,0,0.0465,0.497,0.0,0.112,0.702,86.957
Channa Mereya,"Pritam, Arijit Singh",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],5xjaz957o6YGSXmlfd2tex,0H2iJVgorRR0ZFgRqGUjUM,65,2016-10-26,289333,False,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM,0.476,0.788,9,-4.821,0,0.0446,0.237,2.49e-05,0.106,0.746,90.066
Safarnama,Lucky Ali,Tamasha,2CUXo26JAWIbQx0EVMnjpA,6w458kA8WOAIZr1ublxnK9,56,2015-10-16,251402,False,https://open.spotify.com/track/6w458kA8WOAIZr1ublxnK9,0.541,0.512,9,-10.203,1,0.0291,0.74,0.000528,0.162,0.203,120.036
Arziyan,"Javed Ali, Kailash Kher",Delhi-6,2oEJvIPxiVWejbACLjq6Lh,3V80Iv04B9XAqGHbXdtRT1,52,2009-01-19,519236,False,https://open.spotify.com/track/3V80Iv04B9XAqGHbXdtRT1,0.582,0.559,9,-8.64,1,0.0479,0.297,0.0,0.135,0.656,139.891
"Haareya (From ""Meri Pyaari Bindu "")","Sachin-Jigar, Arijit Singh, Priya Saraiya",YRF Top 10 - Midnight Hour,2mgAQPRBawMyJ1N6jGWWPF,678JJ0TF3KFkzw6bIFKcew,54,2021-02-17,214736,False,https://open.spotify.com/track/678JJ0TF3KFkzw6bIFKcew,0.675,0.392,4,-10.11,0,0.037,0.773,0.0,0.109,0.533,123.923
Phir Le Aya Dil,"Pritam, Rekha Bhardwaj",Barfi! (Original Motion Picture Soundtrack),2KZs4INik6X4KeZEsEWEm4,2OvldWM8rVnp7QCn9eCrr1,52,2012-06-24,285000,False,https://open.spotify.com/track/2OvldWM8rVnp7QCn9eCrr1,0.426,0.432,0,-9.667,1,0.0353,0.844,8.79e-05,0.13,0.615,77.004
Saibo,"Sachin-Jigar, Shreya Ghoshal, Tochi Raina",Shor in the City (Original Motion Picture Soundtrack),2HZl13JCi3PIaqVlIkp4q6,6udC4b4jOSnHb9ItnXgKLR,69,2011-03-28,195253,False,https://open.spotify.com/track/6udC4b4jOSnHb9ItnXgKLR,0.619,0.429,2,-7.867,1,0.028,0.738,1.35e-05,0.136,0.545,90.058
Tum Ho,"Mohit Chauhan, Suzanne D'Mello",Rockstar,3RZxrS2dDZlbsYtMRM89v8,7uNnlVit5qDvfOje0pqICF,67,2011-10-01,316500,False,https://open.spotify.com/track/7uNnlVit5qDvfOje0pqICF,0.356,0.47,5,-8.929,1,0.0278,0.518,1e-05,0.0807,0.167,93.895
